,0
0,9.079573740486879e-05
1,1.0
2,0.11958367002128646
3,1.0
4,1.0000000020611537
5,0.0004322900424735616
6,1.0
7,0.11953827215258403
8,5.1544104458267306e-05
9,1.0
10,0.12020897241351698
11,1.0000000020611537
12,1.000006146235756
13,0.11962989941801655
14,1.0
15,1.0000515420433047
16,1.0000453978687025
17,0.036353167923352026
18,1.0000000020611537
19,0.005280596443736027
20,1.0
21,0.13966175514084386
22,0.11920292202211755
23,1.145963156732852e-07
24,1.1192030345572797
25,1.000000112535162
26,8.315280276641321e-07
27,1.1192029220221176
28,1.12535162055095e-07
29,1.0
30,0.0024735672198244935
31,1.0
32,1.0
33,0.002518133560499264
34,6.14421235356016e-06
35,0.00034160684023074793
36,1.0
37,1.0000008315280278
38,1.0000008315280278
39,6.97570262987885e-06
