,0
0,9.079573740486879e-05
1,1.0
2,0.0003353501304664781
3,0.0
4,1.0
5,5.1542043304649114e-05
6,0.11953827215258403
7,1.0
8,4.5399929856052586e-05
9,0.0006707002609329562
10,1.0
11,0.1195391036806117
12,0.11920906825787339
13,1.0
14,0.0003807479991689125
15,1.0
16,9.079573740486879e-05
17,0.01798620996209156
18,0.0
19,0.0028079732871012526
20,1.0
21,0.11920292202211755
22,0.11920292202211755
23,1.145963156732852e-07
24,1.0
25,1.12535162055095e-07
26,0.0
27,0.11920292202211755
28,0.0
29,1.12535162055095e-07
30,1.0
31,8.315280276641321e-07
32,0.0028079732871012526
33,0.0
34,0.0
35,1.0
36,1.12535162055095e-07
37,0.0
38,6.144174602214718e-06
39,0.0
